salary,experience,education,management
13876,1,Bachelor,Y
11608,1,Ph.D,N
18701,1,Ph.D,Y
11283,1,Master,N
11767,1,Ph.D,N
20872,2,Master,Y
11772,2,Master,N
10535,2,Bachelor,N
12195,2,Ph.D,N
12313,3,Master,N
14975,3,Bachelor,Y
21371,3,Master,Y
19800,3,Ph.D,Y
11417,4,Bachelor,N
20263,4,Ph.D,Y
13231,4,Ph.D,N
12884,4,Master,N
13245,5,Master,N
13677,5,Ph.D,N
15965,5,Bachelor,Y
12336,6,Bachelor,N
21352,6,Ph.D,Y
13839,6,Master,N
22884,6,Master,Y
16978,7,Bachelor,Y
14803,8,Master,N
17404,8,Bachelor,Y
22184,8,Ph.D,Y
13548,8,Bachelor,N
14467,10,Bachelor,N
15942,10,Master,N
23174,10,Ph.D,Y
23780,10,Master,Y
25410,11,Master,Y
14861,11,Bachelor,N
16882,12,Master,N
24170,12,Ph.D,Y
15990,13,Bachelor,N
26330,13,Master,Y
17949,14,Master,N
25685,15,Ph.D,Y
27837,16,Master,Y
18838,16,Master,N
17483,16,Bachelor,N
19207,17,Master,N
19346,20,Bachelor,N
